dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
titanic,survived,0.9,20,5,32,rules_disjoint,0.5291,0.9315,0.8,7.8,10,1.6
titanic,survived,0.9,20,20,8,vsf,0.4706,0.9488,1.0,4.0,10,1.2
titanic,survived,0.9,20,20,32,vsf,0.4706,0.9488,1.0,4.0,10,1.2
titanic,survived,0.9,20,20,8,vsf_partial,0.4547,0.9463,1.0,4.4,10,1.2
titanic,survived,0.9,20,20,32,vsf_partial,0.4547,0.9463,1.0,4.4,10,1.2
titanic,survived,0.9,20,20,8,rules_disjoint,0.4706,0.9488,1.0,4.0,10,1.2
titanic,survived,0.9,20,20,32,rules_disjoint,0.4706,0.9488,1.0,4.0,10,1.2
titanic,survived,0.9,none,1,8,vsf,0.4706,0.9488,1.0,4.0,10,1.9
titanic,survived,0.9,none,1,32,vsf,0.4866,0.9509,1.0,22.1,10,1.9
titanic,survived,0.9,none,1,8,vsf_partial,0.5246,0.9543,1.0,6.6,10,1.9
titanic,survived,0.9,none,1,32,vsf_partial,0.5276,0.9103,0.7,28.5,10,1.9
titanic,survived,0.9,none,1,8,rules_disjoint,0.5261,0.9439,1.0,7.9,10,1.9
titanic,survived,0.9,none,1,32,rules_disjoint,0.573,0.8753,0.5,31.6,10,1.9
titanic,survived,0.9,none,5,8,vsf,0.4706,0.9488,1.0,4.0,10,1.1
titanic,survived,0.9,none,5,32,vsf,0.4823,0.9503,1.0,8.2,10,1.1
titanic,survived,0.9,none,5,8,vsf_partial,0.5232,0.9542,1.0,6.0,10,1.1
titanic,survived,0.9,none,5,32,vsf_partial,0.5261,0.9447,0.9,6.5,10,1.1
titanic,survived,0.9,none,5,8,rules_disjoint,0.5232,0.9542,1.0,6.0,10,1.1
titanic,survived,0.9,none,5,32,rules_disjoint,0.5291,0.9315,0.8,7.8,10,1.1
titanic,survived,0.9,none,20,8,vsf,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,none,20,32,vsf,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,none,20,8,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.7
titanic,survived,0.9,none,20,32,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.7
titanic,survived,0.9,none,20,8,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,none,20,32,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.7,5,1,8,vsf,0.6812,0.7426,0.9,1.0,10,2.6
titanic,survived,0.7,5,1,32,vsf,0.6447,0.7527,1.0,8.8,10,2.6
titanic,survived,0.7,5,1,8,vsf_partial,0.7367,0.7472,1.0,7.6,10,2.6
titanic,survived,0.7,5,1,32,vsf_partial,0.7339,0.7281,0.8,26.8,10,2.6
titanic,survived,0.7,5,1,8,rules_disjoint,0.7396,0.7459,0.9,8.0,10,2.6
titanic,survived,0.7,5,1,32,rules_disjoint,0.7631,0.7247,0.7,30.9,10,2.6
titanic,survived,0.7,5,5,8,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,5,5,32,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,5,5,8,vsf_partial,0.7367,0.7468,0.9,6.0,10,1.8
titanic,survived,0.7,5,5,32,vsf_partial,0.7382,0.7473,0.9,6.4,10,1.8
titanic,survived,0.7,5,5,8,rules_disjoint,0.7382,0.7478,0.9,5.7,10,1.8
titanic,survived,0.7,5,5,32,rules_disjoint,0.747,0.7438,0.8,9.1,10,1.8
titanic,survived,0.7,5,20,8,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,5,20,32,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,5,20,8,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,5,20,32,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,5,20,8,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,5,20,32,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,10,1,8,vsf,0.6812,0.7426,0.9,1.0,10,2.8
titanic,survived,0.7,10,1,32,vsf,0.6447,0.7527,1.0,8.8,10,2.8
titanic,survived,0.7,10,1,8,vsf_partial,0.7367,0.7447,1.0,7.6,10,2.8
titanic,survived,0.7,10,1,32,vsf_partial,0.7309,0.7302,0.8,25.6,10,2.8
titanic,survived,0.7,10,1,8,rules_disjoint,0.7396,0.7459,0.9,8.0,10,2.8
titanic,survived,0.7,10,1,32,rules_disjoint,0.7631,0.7247,0.7,30.9,10,2.8
titanic,survived,0.7,10,5,8,vsf,0.6812,0.7426,0.9,1.0,10,2.0
titanic,survived,0.7,10,5,32,vsf,0.6812,0.7426,0.9,1.0,10,2.0
titanic,survived,0.7,10,5,8,vsf_partial,0.7367,0.742,0.9,6.6,10,2.0
titanic,survived,0.7,10,5,32,vsf_partial,0.7382,0.7424,0.9,7.0,10,2.0
titanic,survived,0.7,10,5,8,rules_disjoint,0.7382,0.7478,0.9,5.7,10,2.0
titanic,survived,0.7,10,5,32,rules_disjoint,0.747,0.7438,0.8,9.1,10,2.0
titanic,survived,0.7,10,20,8,vsf,0.6812,0.7426,0.9,1.0,10,1.3
titanic,survived,0.7,10,20,32,vsf,0.6812,0.7426,0.9,1.0,10,1.3
titanic,survived,0.7,10,20,8,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.3
titanic,survived,0.7,10,20,32,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.3
titanic,survived,0.7,10,20,8,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.3
titanic,survived,0.7,10,20,32,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.3
titanic,survived,0.7,20,1,8,vsf,0.6812,0.7426,0.9,1.0,10,2.9
titanic,survived,0.7,20,1,32,vsf,0.6447,0.7527,1.0,8.8,10,2.9
titanic,survived,0.7,20,1,8,vsf_partial,0.7323,0.7461,1.0,7.6,10,2.9
titanic,survived,0.7,20,1,32,vsf_partial,0.7382,0.7354,0.9,20.4,10,2.9
titanic,survived,0.7,20,1,8,rules_disjoint,0.7396,0.7459,0.9,8.0,10,2.9
titanic,survived,0.7,20,1,32,rules_disjoint,0.7631,0.7247,0.7,30.9,10,2.9
titanic,survived,0.7,20,5,8,vsf,0.6812,0.7426,0.9,1.0,10,2.3
titanic,survived,0.7,20,5,32,vsf,0.6812,0.7426,0.9,1.0,10,2.3
titanic,survived,0.7,20,5,8,vsf_partial,0.7353,0.7438,0.9,6.3,10,2.3
titanic,survived,0.7,20,5,32,vsf_partial,0.7338,0.7427,0.9,8.0,10,2.3
titanic,survived,0.7,20,5,8,rules_disjoint,0.7382,0.7478,0.9,5.7,10,2.3
titanic,survived,0.7,20,5,32,rules_disjoint,0.747,0.7438,0.8,9.1,10,2.3
titanic,survived,0.7,20,20,8,vsf,0.6812,0.7426,0.9,1.0,10,1.7
titanic,survived,0.7,20,20,32,vsf,0.6812,0.7426,0.9,1.0,10,1.7
titanic,survived,0.7,20,20,8,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.7
titanic,survived,0.7,20,20,32,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.7
titanic,survived,0.7,20,20,8,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.7
titanic,survived,0.7,20,20,32,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.7
titanic,survived,0.7,none,1,8,vsf,0.6812,0.7426,0.9,1.0,10,2.6
titanic,survived,0.7,none,1,32,vsf,0.6447,0.7527,1.0,8.8,10,2.6
titanic,survived,0.7,none,1,8,vsf_partial,0.7367,0.7472,1.0,7.6,10,2.6
titanic,survived,0.7,none,1,32,vsf_partial,0.7339,0.7281,0.8,26.8,10,2.6
titanic,survived,0.7,none,1,8,rules_disjoint,0.7396,0.7459,0.9,8.0,10,2.6
titanic,survived,0.7,none,1,32,rules_disjoint,0.7631,0.7247,0.7,30.9,10,2.6
titanic,survived,0.7,none,5,8,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,none,5,32,vsf,0.6812,0.7426,0.9,1.0,10,1.8
titanic,survived,0.7,none,5,8,vsf_partial,0.7367,0.7468,0.9,6.0,10,1.8
titanic,survived,0.7,none,5,32,vsf_partial,0.7382,0.7473,0.9,6.4,10,1.8
titanic,survived,0.7,none,5,8,rules_disjoint,0.7382,0.7478,0.9,5.7,10,1.8
titanic,survived,0.7,none,5,32,rules_disjoint,0.747,0.7438,0.8,9.1,10,1.8
titanic,survived,0.7,none,20,8,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,none,20,32,vsf,0.6812,0.7426,0.9,1.0,10,1.2
titanic,survived,0.7,none,20,8,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,32,vsf_partial,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,8,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
titanic,survived,0.7,none,20,32,rules_disjoint,0.6812,0.7384,0.9,1.4,10,1.2
